Time,GMSL,GMSL uncertainty
1880-01-15,-183.00,24.20
1880-02-15,-171.10,24.20
1880-03-15,-164.30,24.20
1880-04-15,-158.20,24.20
1880-05-15,-158.70,24.20
1880-06-15,-159.60,24.20
1880-07-15,-159.60,24.20
1880-08-15,-161.80,24.20
1880-09-15,-158.90,24.20
1880-10-15,-150.30,24.20
1880-11-15,-144.50,24.20
1880-12-15,-134.70,24.20
1881-01-15,-136.40,24.20
1881-02-15,-139.20,24.20
1881-03-15,-145.20,24.20
1881-04-15,-151.10,24.20
1881-05-15,-152.20,24.20
1881-06-15,-154.20,24.20
1881-07-15,-147.70,24.20
1881-08-15,-151.40,24.20
1881-09-15,-156.00,24.20
1881-10-15,-165.50,24.20
1881-11-15,-167.90,24.20
1881-12-15,-169.90,24.20
1882-01-15,-167.80,24.20
1882-02-15,-162.00,22.90
1882-03-15,-158.80,22.90
1882-04-15,-160.60,22.90
1882-05-15,-164.50,22.90
1882-06-15,-165.20,22.90
1882-07-15,-167.30,22.90
1882-08-15,-169.00,22.90
1882-09-15,-174.90,22.90
1882-10-15,-181.50,22.90
1882-11-15,-182.50,22.90
1882-12-15,-184.50,22.90
1883-01-15,-179.90,22.80
1883-02-15,-180.00,22.80
1883-03-15,-172.40,22.80
1883-04-15,-172.30,22.80
1883-05-15,-164.00,22.80
1883-06-15,-163.60,22.80
1883-07-15,-161.10,22.80
1883-08-15,-162.00,22.80
1883-09-15,-159.30,22.80
1883-10-15,-158.20,22.80
1883-11-15,-153.20,22.80
1883-12-15,-149.10,22.80
1884-01-15,-142.50,22.20
1884-02-15,-139.50,22.20
1884-03-15,-137.00,22.20
1884-04-15,-135.20,22.20
1884-05-15,-136.00,22.20
1884-06-15,-140.00,22.20
1884-07-15,-143.30,22.20
1884-08-15,-146.80,22.20
1884-09-15,-150.40,22.20
1884-10-15,-150.40,22.20
1884-11-15,-154.00,22.20
1884-12-15,-149.90,22.20
1885-01-15,-153.10,22.20
1885-02-15,-148.30,21.90
1885-03-15,-145.30,21.90
1885-04-15,-142.70,21.90
1885-05-15,-143.10,21.90
1885-06-15,-142.70,21.90
1885-07-15,-148.40,21.90
1885-08-15,-143.20,21.90
1885-09-15,-146.50,21.90
1885-10-15,-141.20,21.90
1885-11-15,-143.30,21.90
1885-12-15,-145.10,21.90
1886-01-15,-147.30,20.80
1886-02-15,-152.20,20.80
1886-03-15,-146.80,20.80
1886-04-15,-142.00,20.80
1886-05-15,-134.70,20.80
1886-06-15,-135.40,20.80
1886-07-15,-140.80,20.80
1886-08-15,-147.70,20.80
1886-09-15,-155.10,20.80
1886-10-15,-155.20,20.80
1886-11-15,-157.90,20.80
1886-12-15,-155.80,20.80
1887-01-15,-162.20,20.70
1887-02-15,-165.80,20.70
1887-03-15,-162.90,20.80
1887-04-15,-158.80,20.80
1887-05-15,-151.90,20.80
1887-06-15,-147.10,20.80
1887-07-15,-147.30,20.80
1887-08-15,-147.50,20.80
1887-09-15,-150.60,20.80
1887-10-15,-147.50,20.80
1887-11-15,-148.80,20.80
1887-12-15,-148.00,20.80
1888-01-15,-155.30,20.80
1888-02-15,-155.60,20.80
1888-03-15,-155.00,20.80
1888-04-15,-155.20,20.80
1888-05-15,-154.20,20.80
1888-06-15,-151.60,20.80
1888-07-15,-149.00,20.80
1888-08-15,-148.50,20.80
1888-09-15,-151.50,20.80
1888-10-15,-145.00,20.80
1888-11-15,-146.00,20.80
1888-12-15,-146.00,20.80
1889-01-15,-151.10,20.80
1889-02-15,-147.40,20.80
1889-03-15,-144.30,20.70
1889-04-15,-145.00,20.70
1889-05-15,-145.90,20.70
1889-06-15,-145.80,20.70
1889-07-15,-147.00,20.70
1889-08-15,-147.60,20.70
1889-09-15,-151.30,20.70
1889-10-15,-153.80,20.70
1889-11-15,-157.60,20.70
1889-12-15,-157.20,20.70
1890-01-15,-152.30,20.70
1890-02-15,-151.40,20.70
1890-03-15,-140.00,20.70
1890-04-15,-138.10,20.70
1890-05-15,-135.30,20.70
1890-06-15,-140.20,20.70
1890-07-15,-144.20,20.70
1890-08-15,-147.80,20.70
1890-09-15,-149.40,20.70
1890-10-15,-151.80,20.70
1890-11-15,-155.90,20.70
1890-12-15,-163.90,20.70
1891-01-15,-162.90,20.70
1891-02-15,-163.90,20.70
1891-03-15,-148.10,20.70
1891-04-15,-150.80,20.70
1891-05-15,-145.40,20.70
1891-06-15,-148.40,20.70
1891-07-15,-143.80,20.70
1891-08-15,-142.20,20.70
1891-09-15,-143.20,20.70
1891-10-15,-144.50,20.70
1891-11-15,-148.20,20.70
1891-12-15,-148.80,20.70
1892-01-15,-145.80,20.70
1892-02-15,-139.30,20.70
1892-03-15,-139.80,20.70
1892-04-15,-138.60,20.70
1892-05-15,-143.10,20.70
1892-06-15,-141.60,20.70
1892-07-15,-145.80,20.70
1892-08-15,-146.60,20.70
1892-09-15,-151.70,20.70
1892-10-15,-151.50,20.70
1892-11-15,-156.30,20.70
1892-12-15,-152.40,20.70
1893-01-15,-147.50,20.20
1893-02-15,-143.80,20.20
1893-03-15,-136.70,20.20
1893-04-15,-137.90,20.20
1893-05-15,-139.20,20.20
1893-06-15,-140.50,20.20
1893-07-15,-140.70,20.20
1893-08-15,-139.00,20.20
1893-09-15,-139.00,20.20
1893-10-15,-140.60,20.20
1893-11-15,-145.10,20.20
1893-12-15,-145.60,21.60
1894-01-15,-148.40,21.60
1894-02-15,-147.50,21.60
1894-03-15,-149.90,21.60
1894-04-15,-148.90,21.60
1894-05-15,-152.10,21.60
1894-06-15,-152.70,21.60
1894-07-15,-154.50,21.60
1894-08-15,-154.70,21.60
